unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
39,345 Seventh Avenue,P10,1000,5644,$50.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$282,200","$23,517","$19,234"
40,345 Seventh Avenue,P8,803,2251,$45.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$101,295","$8,441","$14,560"
41,345 Seventh Avenue,P8,802,2366,$45.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$106,470","$8,873","$10,948"
42,345 Seventh Avenue,P8,801,4252,$45.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$191,340","$15,945","$17,640"
43,345 Seventh Avenue,P6,551,9166,$45.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$412,470","$34,373","$11,900"
44,345 Seventh Avenue,P5,504,2330,$45.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$104,850","$8,738","$11,900"
45,345 Seventh Avenue,P4,403,2378,$45.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$107,010","$8,918","$13,167"
46,345 Seventh Avenue,P4,402,2378,$45.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$107,010","$8,918","$13,167"
47,345 Seventh Avenue,P3,726,9166,$45.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$412,470","$34,373","$4,569"
48,345 Seventh Avenue,P GRND,B,450,$45.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$20,250","$1,688","$56,566"
49,345 Seventh Avenue,PGRND,A,1500,$45.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$67,500","$5,625","$19,234"
50,129-133 W 27th St,P8,804,600,$36.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$21,600","$1,800","$14,560"
51,99 University Pl,P2,203,896,$55.00,Alex Fleischman,varshit@okadaco.com,Xavier Newton,Christopher Okada,,"$49,280","$4,107","$10,948"
52,99 University Pl,P2,205/206,649,$55.00,Alex Fleischman,varshit@okadaco.com,Xavier Newton,Christopher Okada,,"$35,695","$2,975","$17,640"
53,99 University Pl,E4,400,4796,$50.00,Alex Fleischman,varshit@okadaco.com,Xavier Newton,Christopher Okada,,"$239,800","$19,983","$11,900"
54,99 University Pl,E6,600,4796,$51.00,Alex Fleischman,varshit@okadaco.com,Xavier Newton,Christopher Okada,,"$244,596","$20,383","$11,900"
55,99 University Pl,E8,800,4796,$52.00,Alex Fleischman,varshit@okadaco.com,Xavier Newton,Christopher Okada,,"$249,392","$20,783","$13,167"
56,99 University Pl,E10,1000,4796,$53.00,Alex Fleischman,varshit@okadaco.com,Xavier Newton,Christopher Okada,,"$254,188","$21,182","$13,167"
57,552 Seventh Ave,E5,500,5750,$45.00,Christopher Okada,varshit@okadaco.com,Thomas Capuano,Lazaro Rabanales,,"$258,750","$21,563","$4,569"
58,9 Times Sq,E2,200,9157,$65.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$595,205","$49,600","$56,566"
59,9 Times Sq,E3,300,9157,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$503,635","$41,970","$19,234"
60,9 Times Sq,P3,3C,3266,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$179,630","$14,969","$14,560"
61,9 Times Sq,P3,3A,3176,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$174,680","$14,557","$10,948"
62,9 Times Sq,P3,3B,2714,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$149,270","$12,439","$17,640"
63,9 Times Sq,P4,405,943,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$51,865","$4,322","$11,900"
64,9 Times Sq,E7,700,8780,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$482,900","$40,242","$11,900"
65,9 Times Sq,P12,1203,5363,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$294,965","$24,580","$13,167"
66,9 Times Sq,P18,1802,1878,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$103,290","$8,608","$13,167"
67,9 Times Sq,P19,1902,3816,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$209,880","$17,490","$4,569"
68,9 Times Sq,E20,2000,7142,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$392,810","$32,734","$54,993"
69,9 Times Sq,P21,2102,3940,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$216,700","$18,058","$30,338"
70,9 Times Sq,P21,2101,2908,$55.00,Christopher Okada,varshit@okadaco.com,Avery Reavill,Thomas Capuano,,"$159,940","$13,328","$22,392"
71,145 E 32nd St,P BSMT,BSMT,5690,$55.00,Christopher Okada,varshit@okadaco.com,Elena Ivanova,Thomas Capuano,,"$312,950","$26,079","$43,813"
72,145 E 32nd St,E GRND,RETL,25000,$55.00,Christopher Okada,varshit@okadaco.com,Elena Ivanova,Thomas Capuano,,"$1,375,000","$114,583","$192,500"
73,145 E 32nd St,E GRND,RETL,9950,$55.00,Christopher Okada,varshit@okadaco.com,Elena Ivanova,Thomas Capuano,,"$547,250","$45,604","$76,615"
74,145 E 32nd St,E MEZZ,MEZZ,9375,$55.00,Christopher Okada,varshit@okadaco.com,Elena Ivanova,Thomas Capuano,,"$515,625","$42,969","$72,188"
75,145 E 32nd St,E11,1100,5500,$55.00,Christopher Okada,varshit@okadaco.com,Elena Ivanova,Thomas Capuano,,"$302,500","$25,208","$42,350"
76,145 E 32nd St,E12,1200,5500,$55.00,Christopher Okada,varshit@okadaco.com,Elena Ivanova,Thomas Capuano,,"$302,500","$25,208","$42,350"
77,173 Elizabeth St,-,1008,5500,$55.00,Matt Fernandez,varshit@okadaco.com,,,,"$302,500","$25,208","$56,566"
78,759 Grand St,-,566,5500,$55.00,Christopher Okada,varshit@okadaco.com,,,,"$302,500","$25,208","$19,234"
79,340 Lexington Ave,-,1077,5500,$55.00,Christopher Okada,varshit@okadaco.com,,,,"$302,500","$25,208","$14,560"
80,3 E 17th St,-,540,5500,$55.00,Christopher Okada,varshit@okadaco.com,,,,"$302,500","$25,208","$10,948"
81,53 E 34th St,-,516,5500,$55.00,Hiro Iwata,varshit@okadaco.com,,,,"$302,500","$25,208","$17,640"
82,206 W 23rd St,-,588,5500,$55.00,Hiro Iwata,varshit@okadaco.com,,,,"$302,500","$25,208","$11,900"
83,226 E 54th St,P5,502,1400,$55.00,Hiro Iwata,varshit@okadaco.com,,,,"$77,000","$6,417","$11,900"
84,315 Fifth Ave,P7,703B,550,$60.00,Hiro Iwata,varshit@okadaco.com,,,,"$33,000","$2,750","$13,167"
85,315 Fifth Ave,P8,800,680,$63.53,Hiro Iwata,varshit@okadaco.com,,,,"$43,200","$3,600","$13,167"
86,315 Fifth Ave,P9,906,575,$66.78,Hiro Iwata,varshit@okadaco.com,,,,"$38,399","$3,200","$4,569"
87,315 Fifth Ave,P9,904,575,$62.60,Hiro Iwata,varshit@okadaco.com,,,,"$35,995","$3,000","$5,039"
88,347 5th Ave,P7,700,4050,$45.00,Hiro Iwata,varshit@okadaco.com,,,,"$182,250","$15,188","$25,515"
89,347 5th Ave,P11,1108,325,$64.51,Hiro Iwata,varshit@okadaco.com,,,,"$20,966","$1,747","$2,935"
90,347 5th Ave,P13,1303,650,$60.00,Hiro Iwata,varshit@okadaco.com,,,,"$39,000","$3,250","$5,460"
91,347 5th Ave,P14,1407,325,$64.61,Hiro Iwata,varshit@okadaco.com,,,,"$20,998","$1,750","$2,940"
92,224 W 30th St,P2,204,1600,$36.00,Hiro Iwata,varshit@okadaco.com,,,,"$57,600","$4,800","$8,064"
93,224 W 30th St,P3,308,2000,$27.00,Hiro Iwata,varshit@okadaco.com,,,,"$54,000","$4,500","$7,560"
94,224 W 30th St,P5,501,7720,$33.00,Hiro Iwata,varshit@okadaco.com,,,,"$254,760","$21,230","$35,666"
95,224 W 30th St,P5,502,3230,$35.00,Hiro Iwata,varshit@okadaco.com,,,,"$113,050","$9,421","$15,827"
96,224 W 30th St,P6,602,2400,$34.00,Hiro Iwata,varshit@okadaco.com,,,,"$81,600","$6,800","$11,424"
97,224 W 35th St,P2,204,1425,$39.00,Hiro Iwata,varshit@okadaco.com,Christopher Okada,,,"$55,575","$4,631","$7,781"
98,224 W 35th St,P7,710B,2335,$32.00,Hiro Iwata,varshit@okadaco.com,Christopher Okada,,,"$74,720","$6,227","$10,461"
99,224 W 35th St,E13,1300,8800,$38.00,Hiro Iwata,varshit@okadaco.com,Christopher Okada,,,"$334,400","$27,867","$46,816"
100,650 Broadway,E 5,500,4000,$42.00,Hiro Iwata,varshit@okadaco.com,,,,"$168,000","$14,000","$23,520"
101,1674 Broadway,E3,300,5750,$39.00,Hiro Iwata,varshit@okadaco.com,Avery Reavill,,,"$224,250","$18,688","$31,395"
102,1674 Broadway,E6,600,5719,$45.00,Hiro Iwata,varshit@okadaco.com,Avery Reavill,,,"$257,355","$21,446","$36,030"
103,1674 Broadway,P6,A,3317,$45.00,Hiro Iwata,varshit@okadaco.com,Avery Reavill,,,"$149,265","$12,439","$20,897"
104,1674 Broadway,P6,B,2402,$45.00,Hiro Iwata,varshit@okadaco.com,Avery Reavill,,,"$108,090","$9,008","$15,133"
105,1674 Broadway,P6,6A-2,1889,$45.00,Hiro Iwata,varshit@okadaco.com,Avery Reavill,,,"$85,005","$7,084","$11,901"
106,1674 Broadway,P6,6A-1,1428,$45.00,Hiro Iwata,varshit@okadaco.com,Avery Reavill,,,"$64,260","$5,355","$8,996"
107,1674 Broadway,P6,B-2,1285,$45.00,Hiro Iwata,varshit@okadaco.com,Avery Reavill,,,"$57,825","$4,819","$8,096"
108,1674 Broadway,P6,B-1,1117,$45.00,Hiro Iwata,varun@okadaco.com,Avery Reavill,,,"$50,265","$4,189","$7,037"
109,1674 Broadway,E7,700,5703,$45.00,Hiro Iwata,varun@okadaco.com,Avery Reavill,,,"$256,635","$21,386","$35,929"
110,1674 Broadway,E8,800,5703,$45.00,Hiro Iwata,varun@okadaco.com,Avery Reavill,,,"$256,635","$21,386","$35,929"
111,1674 Broadway,E9,900,5351,$45.00,Hiro Iwata,varun@okadaco.com,Avery Reavill,,,"$240,795","$20,066","$33,711"
112,183 Bowery,-,1073,5500,$40.00,Avery Reavill,varun@okadaco.com,,,,"$220,000","$18,333","$56,566"
113,25 E 21st St,E5,500,4500,$40.00,Avery Reavill,varun@okadaco.com,Xavier Newton,,,"$180,000","$15,000","$19,234"
114,25 E 21st St,E6,600,4500,$28.00,Avery Reavill,varun@okadaco.com,Xavier Newton,,,"$126,000","$10,500","$14,560"
115,25 E 21st St,P9,901,3000,$60.00,Avery Reavill,varun@okadaco.com,Xavier Newton,,,"$180,000","$15,000","$10,948"
116,25 E 21st St,P9,900,200,$60.00,Avery Reavill,varun@okadaco.com,Xavier Newton,,,"$12,000","$1,000","$17,640"
117,25 E 21st St,E10,1000,4500,$40.00,Avery Reavill,varun@okadaco.com,Xavier Newton,,,"$180,000","$15,000","$11,900"
118,113 University Pl,E6,600,6500,$48.00,Avery Reavill,varun@okadaco.com,Xavier Newton,,,"$312,000","$26,000","$11,900"
119,113 University Pl,E7,700,6500,$48.00,Avery Reavill,varun@okadaco.com,Xavier Newton,,,"$312,000","$26,000","$13,167"
120,155 E 55th St,P2,203,2906,$45.00,Christopher Okada,varun@okadaco.com,Hiro Iwata,Avery Reavill,Alex Fleischman,"$130,770","$10,898","$13,167"
121,155 E 55th St,P3,303A,975,$45.00,Christopher Okada,varun@okadaco.com,Hiro Iwata,Avery Reavill,Alex Fleischman,"$43,875","$3,656","$4,569"
122,155 E 55th St,P3,300A,563,$49.00,Christopher Okada,varun@okadaco.com,Hiro Iwata,Avery Reavill,Alex Fleischman,"$27,587","$2,299","$3,862"
123,155 E 55th St,P5,5I,1862,$45.00,Christopher Okada,varun@okadaco.com,Hiro Iwata,Avery Reavill,Alex Fleischman,"$83,790","$6,983","$11,731"
124,155 E 55th St,P5,5J,943,$45.00,Christopher Okada,varun@okadaco.com,Hiro Iwata,Avery Reavill,Alex Fleischman,"$42,435","$3,536","$5,941"
125,155 E 55th St,P6,6H,2998,$45.00,Christopher Okada,varun@okadaco.com,Hiro Iwata,Avery Reavill,Alex Fleischman,"$134,910","$11,243","$18,887"
126,155 E 55th St,P6,6K,957,$46.00,Christopher Okada,varun@okadaco.com,Hiro Iwata,Avery Reavill,Alex Fleischman,"$44,022","$3,669","$6,163"
127,155 E 55th St,P6,6A,920,$45.00,Christopher Okada,varun@okadaco.com,Hiro Iwata,Avery Reavill,Alex Fleischman,"$41,400","$3,450","$5,796"
128,19 W 21st St,P8,803,3000,$38.00,Avery Reavill,varun@okadaco.com,Xavier Newton,,,"$114,000","$9,500","$15,960"
129,19 W 21st St,P8,905,1000,$48.00,Avery Reavill,varun@okadaco.com,Xavier Newton,,,"$48,000","$4,000","$6,720"
130,121-127 W 27th St,P5,501,2425,$35.00,Avery Reavill,varun@okadaco.com,Alex Fleischman,,,"$84,875","$7,073","$11,883"
131,121-127 W 27th St,P7,702,2445,$35.00,Avery Reavill,varun@okadaco.com,Alex Fleischman,,,"$85,575","$7,131","$11,981"
132,124 W 36th St,E2,200,5500,$24.00,Avery Reavill,varun@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabaneles,"$132,000","$11,000","$18,480"
133,124 W 36th St,E3,300,5100,$28.00,Avery Reavill,varun@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabaneles,"$142,800","$11,900","$19,992"
134,124 W 36th St,E7,700,5100,$28.00,Avery Reavill,varun@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabaneles,"$142,800","$11,900","$19,992"
135,301 E Houston St,E1,100,800,$95.00,Alex Fleischman,varun@okadaco.com,Avery Reavill,Christopher Okada,Lazaro Rabanales,"$76,000","$6,333","$10,640"
136,365-369 Seventh Ave,P2,201,1400,$60.00,Avery Reavill,varun@okadaco.com,Lazaro Rabanales,,,"$84,000","$7,000","$11,760"
137,365-369 Seventh Ave,P3,301,1600,$30.00,Avery Reavill,varun@okadaco.com,Lazaro Rabanales,,,"$48,000","$4,000","$6,720"
138,135 W 36th St,E6,600,5250,$38.00,Avery Reavill,varun@okadaco.com,Alex Fleischman,Christopher Okada,,"$199,500","$16,625","$56,566"
139,135 W 36th St,E9,900,5250,$38.00,Avery Reavill,varun@okadaco.com,Alex Fleischman,Christopher Okada,,"$199,500","$16,625","$19,234"
140,135 W 36th St,E13,1300,5250,$38.00,Avery Reavill,varun@okadaco.com,Alex Fleischman,Christopher Okada,,"$199,500","$16,625","$14,560"
141,135 W 36th St,P17,17N,2000,$42.00,Avery Reavill,varun@okadaco.com,Alex Fleischman,Christopher Okada,,"$84,000","$7,000","$10,948"
142,269 W 39th St,-,810,2000,$42.00,Avery Reavill,varun@okadaco.com,,,,"$84,000","$7,000","$17,640"
143,261 E 78th St,-,632,1455,$42.00,Avery Reavill,varun@okadaco.com,,,,"$61,110","$5,093","$11,900"
144,13 E 16th St,-,684,2155,$42.00,Avery Reavill,varun@okadaco.com,,,,"$90,510","$7,543","$11,900"
145,21-23 W 39th St,-,1031,1225,$42.00,Thomas Capuano,varun@okadaco.com,,,,"$51,450","$4,288","$13,167"
146,111 W 24th St,P GRND,RETL,5500,$110.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Elena Ivanova,,"$605,000","$50,417","$13,167"
147,111 W 24th St,E4,400,6810,$52.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Elena Ivanova,,"$354,120","$29,510","$4,569"
148,111 W 24th St,E5,501,4000,$52.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Elena Ivanova,,"$208,000","$17,333","$29,120"
149,111 W 24th St,E7,700,6810,$65.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Elena Ivanova,,"$442,650","$36,888","$61,971"
150,315 W 35th St,E4,400,2987,$38.00,Thomas Capuano,varun@okadaco.com,Alex Fleischman,,,"$113,506","$9,459","$15,891"
151,315 W 35th St,E5,503,2987,$38.00,Thomas Capuano,varun@okadaco.com,Alex Fleischman,,,"$113,506","$9,459","$15,891"
152,315 W 35th St,E7,700,2887,$38.00,Thomas Capuano,varun@okadaco.com,Alex Fleischman,,,"$109,706","$9,142","$15,359"
153,315 W 35th St,E8,8000,5723,$32.00,Thomas Capuano,varun@okadaco.com,Alex Fleischman,,,"$183,136","$15,261","$25,639"
154,315 W 35th St,E9,9000,5504,$32.00,Thomas Capuano,varun@okadaco.com,Alex Fleischman,,,"$176,128","$14,677","$24,658"
155,315 W 35th St,E10,1000,5104,$32.00,Thomas Capuano,varun@okadaco.com,Alex Fleischman,,,"$163,328","$13,611","$22,866"
156,25 W 39th St,P2,200,12994,$60.00,Thomas Capuano,varun@okadaco.com,Avery Reavill,Christopher Okada,,"$779,640","$64,970","$109,150"
157,25 W 39th St,P3,300,12361,$60.00,Thomas Capuano,varun@okadaco.com,Avery Reavill,Christopher Okada,,"$741,660","$61,805","$103,832"
158,1162 Broadway,E4,400,2200,$65.00,Thomas Capuano,varun@okadaco.com,Alex Fleischman,Christopher Okada,,"$143,000","$11,917","$20,020"
159,1162 Broadway,E6,600,2200,$65.00,Thomas Capuano,varun@okadaco.com,Alex Fleischman,Christopher Okada,,"$143,000","$11,917","$20,020"
160,1162 Broadway,E7,700,2200,$65.00,Thomas Capuano,varun@okadaco.com,Alex Fleischman,Christopher Okada,,"$143,000","$11,917","$20,020"
161,1271-1273 Broadway,E4,P4,3500,$42.85,Christopher Okada,varun@okadaco.com,Avery Reavill,,,"$149,975","$12,498","$20,997"
162,139 Fifth Ave,E2,200,5500,$65.00,Christopher Okada,varun@okadaco.com,Avery Reavill,Thomas Capuano,,"$357,500","$29,792","$50,050"
163,139 Fifth Ave,E5,500,5500,$50.00,Christopher Okada,varun@okadaco.com,Avery Reavill,Thomas Capuano,,"$275,000","$22,917","$38,500"
164,139 Fifth Ave,E6,600,5500,$50.00,Christopher Okada,varun@okadaco.com,Avery Reavill,Thomas Capuano,,"$275,000","$22,917","$38,500"
165,104-110 E 40th St,P9,903,2500,$38.00,Thomas Capuano,varun@okadaco.com,Christopher Okada,,,"$95,000","$7,917","$13,300"
166,22 W 32nd St,P9,900,7500,$45.00,Thomas Capuano,varun@okadaco.com,,,,"$337,500","$28,125","$56,566"
167,22 W 32nd St,E10,1000,7500,$45.00,Thomas Capuano,varun@okadaco.com,,,,"$337,500","$28,125","$19,234"
168,22 W 32nd St,P11,1100,7500,$45.00,Thomas Capuano,varun@okadaco.com,,,,"$337,500","$28,125","$14,560"
169,22 W 32nd St,P14,1400,7500,$45.00,Thomas Capuano,varun@okadaco.com,,,,"$337,500","$28,125","$10,948"
170,137 W 19th St,-,640,2211,$55.00,Thomas Capuano,varun@okadaco.com,-,,,"$121,605","$10,134","$17,640"
171,147-149 W 46th St,-,594,2400,$50.00,Thomas Capuano,varun@okadaco.com,,,,"$120,000","$10,000","$11,900"
172,28 W 30th St,P3,302,1500,$97.50,Alex Fleischman,varun@okadaco.com,Christopher Okada,Xavier Newton,,"$146,250","$12,188","$11,900"
173,29 W 36th St,P4,401,980,$38.00,Xavier Newton,varun@okadaco.com,Lazaro Rabanales,,,"$37,240","$3,103","$13,167"
174,29 W 36th St,P5,5E,100,$114.00,Xavier Newton,varun@okadaco.com,Lazaro Rabanales,,,"$11,400",$950,"$13,167"
175,29 W 36th St,P5,5T,100,$114.00,Xavier Newton,varun@okadaco.com,Lazaro Rabanales,,,"$11,400",$950,"$4,569"
176,29 W 36th St,P5,5W,100,$114.00,Xavier Newton,varun@okadaco.com,Lazaro Rabanales,,,"$11,400",$950,"$1,596"
177,29 W 36th St,P8,804,640,$33.00,Xavier Newton,varun@okadaco.com,Lazaro Rabanales,,,"$21,120","$1,760","$2,957"
178,16 E 52nd St,P4,403,3364,$42.00,Xavier Newton,varun@okadaco.com,Avery Reavill,Christopher Okada,,"$141,288","$11,774","$19,780"
179,16 E 52nd St,P7,702,3901,$42.00,Xavier Newton,varun@okadaco.com,Avery Reavill,Christopher Okada,,"$163,842","$13,654","$22,938"
180,16 E 52nd St,E15,E15,5138,$45.00,Xavier Newton,varun@okadaco.com,Avery Reavill,Christopher Okada,,"$231,210","$19,268","$32,369"
181,16 E 52nd St,E16,E16,5824,$45.00,Xavier Newton,varun@okadaco.com,Avery Reavill,Christopher Okada,,"$262,080","$21,840","$36,691"
